"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
mini_a2a_text,mini_mdd,,descriptive,"<font size=""3"" color=""blue"">Please code NO to A2b</font>",,,,,,,"[mini_2a] = '0'",,,,,,
mini_2b,mini_mdd,,yesno,"2b. In the <u> past two weeks</u>, were you much less interested in most things or much less able to enjoy the things you used to enjoy, most of the time?",,,,,,,,,,,,,
mini_a1a2_text,mini_mdd,,descriptive,"<font size=""3"" color=""blue"">Criteria NOT met for Major Depressive Episode</font>",,,,,,,"[mini_1a] = '0' and [mini_2a] = '0'",,,,,,
mini_3a,mini_mdd,"Past 2 Weeks",descriptive,"3.Over that two week period, when you felt depressed or uninterested:",,,,,,,"([mini_1a]='1' or [mini_2a]='1') and ([mini_1b] = '1' or [mini_2b]= '1')",,,,,,
mini_3a_a,mini_mdd,,yesno,"a. Was your appetite decreased or increased nearly every day? Did your weight decrease or increase without trying intentionally (i.e., by +/- 5% of body weight or +/- 8 lb or +/- 3.5 kg, for a 160 lb/70 kg person in a month)?

If Yes to either, code YES.",,,,,,,"([mini_1a]='1' or [mini_2a]='1') and ([mini_1b] = '1' or [mini_2b]= '1')",,,,,,
mini_3b_a,mini_mdd,,yesno,"b. Did you have trouble sleeping nearly every night (difficulty falling asleep, waking up in the middle of the night, early morning wakening or sleepping excessively)?",,,,,,,"([mini_1a]='1' or [mini_2a]='1') and ([mini_1b] = '1' or [mini_2b]= '1')",,,,,,
mini_3c_a,mini_mdd,,yesno,"c. Did you talk or move more slowly than normal or were you fidgety, restless or having trouble sitting still almost every day? Did anyone notice this?",,,,,,,"([mini_1a]='1' or [mini_2a]='1') and ([mini_1b] = '1' or [mini_2b]= '1')",,,,,,
mini_3d_a,mini_mdd,,yesno,"d. Did you feel tired or without energy almost every day?",,,,,,,"([mini_1a]='1' or [mini_2a]='1') and ([mini_1b] = '1' or [mini_2b]= '1')",,,,,,
mini_3e_a,mini_mdd,,yesno,"e. Did you feel worthless or guilty almost every day?",,,,,,,"([mini_1a]='1' or [mini_2a]='1') and ([mini_1b] = '1' or [mini_2b]= '1')",,,,,,
mini_3e1_a,mini_mdd,,descriptive,"If YES, ask for examples. Look for delusions of failure, inadequacy, of ruin or of guilt, or of needing punishment or delusions of disease or death or nihilistic or somatic delusions.
The examples are consistent with a delusional idea.
",,,,,,,"[mini_3e_a] = '1'",,,,,,
mini_3e2_a,mini_mdd,,yesno,"Current Episode",,,,,,,"[mini_3e_a] = '1'",,,,,,
mini_3f_a,mini_mdd,,yesno,"f. Did you have difficulty concentrating, thinking or making decisions almost every day?",,,,,,,"([mini_1a]='1' or [mini_2a]='1') and ([mini_1b] = '1' or [mini_2b]= '1')",,,,,,
mini_3g_a,mini_mdd,,yesno,"g. Did you repeatedly think about death or have any thoughts of killing yourself, or have intent or plan to kill yourself? Did you attempt suicide?

(If YES to either, code YES. [Fear of dying does not count here])",,,,,,,"([mini_1a]='1' or [mini_2a]='1') and ([mini_1b] = '1' or [mini_2b]= '1')",,,,,,
mini_sx_a,mini_mdd,,calc,"Number of Sx in Current Episode","sum([mini_1b],[mini_2b],[mini_3a_a],[mini_3b_a],[mini_3c_a],[mini_3d_a],[mini_3e_a],[mini_3f_a],[mini_3g_a])",,,,,,,,,,,,
mini_4_a,mini_mdd,,yesno,"4. Did these symptoms cause significant distress or problems at home, at work, at school, socially, in your relationships, or in some other important way, and are they a change from your previous functioning?

( In the past 2 weeks) ",,,,,,,"([mini_1a]='1' or [mini_2a]='1') and ([mini_1b] = '1' or [mini_2b]= '1')",,,,,,
addtl_q_a,mini_mdd,"THE MOST RECENT EPISODE",yesno,"Was there a time recently when you were depressed or down, or felt sad, empty or hopeless most of the day nearly every day?",,,,,,,"([mini_1b] = '0' and [mini_2b] = '0') or [mini_4_a] = '0' or ([mini_sx_a] >= 0 or [mini_sx_a] <  5) or [mini_o2] = '0'",,,,,,
addtl_q_b,mini_mdd,,yesno,"Was there a time recently when you were much less interested in most things or much less able to enjoy the things you used to enjoy, most of the time?",,,,,,,"([mini_1b] = 0 and [mini_2b] = 0) or [mini_sx_a] <  5 or [mini_4_a] = 0 or [mini_o2] = 0",,,,,,
mini_3b,mini_mdd,,descriptive,"3.Over that two week period, when you felt depressed or uninterested:",,,,,,,"[addtl_q_a] = '1' or [addtl_q_b] = '1'",,,,,,
mini_3a_b,mini_mdd,,yesno,"a. Was your appetite decreased or increased nearly every day? Did your weight decrease or increase without trying intentionally (i.e., by ",,,,,,,"[addtl_q_a] = '1' or [addtl_q_b] = '1'",,,,,,
mini_3b_b,mini_mdd,,yesno,"b. Did you have trouble sleeping nearly every night (difficulty falling asleep, waking up in the middle of the night, early morning wakening or sleepping excessively)?",,,,,,,"[addtl_q_a] = '1' or [addtl_q_b] = '1'",,,,,,
mini_3c_b,mini_mdd,,yesno,"c. Did you talk or move more slowly than normal or were you fidgety, restless or having trouble sitting still almost every day? Did anyone notice this?",,,,,,,"[addtl_q_a] = '1' or [addtl_q_b] = '1'",,,,,,
mini_3d_b,mini_mdd,,yesno,"d. Did you feel tired or without energy almost every day?",,,,,,,"[addtl_q_a] = '1' or [addtl_q_b] = '1'",,,,,,
mini_3e_b,mini_mdd,,yesno,"e. Did you feel worthless or guilty almost every day?",,,,,,,"[addtl_q_a] = '1' or [addtl_q_b] = '1'",,,,,,
mini_3e1_b,mini_mdd,,descriptive,"If YES, ask for examples. Look for delusions of failure, inadequacy, of ruin or of guilt, or of needing punishment or delusions of disease or death or nihilistic or somatic delusions.
The examples are consistent with a delusional idea.
",,,,,,,"[mini_3e_b] = '1'",,,,,,
mini_3e2_b,mini_mdd,,yesno,"Past Episode",,,,,,,"[mini_3e_b] = '1'",,,,,,
mini_3f_b,mini_mdd,,yesno,"f. Did you have difficulty concentrating, thinking or making decisions almost every day?",,,,,,,"[addtl_q_a] = '1' or [addtl_q_b] = '1'",,,,,,
mini_3g_b,mini_mdd,,yesno,"g. Did you repeatedly think about death or have any thoughts of killing yourself, or have intent or plan to kill yourself? Did you attempt suicide?

(If YES to either, code YES. [Fear of dying does not count here])",,,,,,,"[addtl_q_a] = '1' or [addtl_q_b] = '1'",,,,,,
mini_sx_b,mini_mdd,,calc,"Number of Sx in the PAST Episode","sum([mini_1a],[mini_2a],[mini_3a_b],[mini_3b_b],[mini_3c_b],[mini_3d_b],[mini_3e_b],[mini_3f_b],[mini_3g_b])",,,,,,,,,,,," @HIDDEN"
mini_4_b,mini_mdd,,yesno,"4. Did these symptoms cause significant distress or problems at home, at work, at school, socially, in your relationships, or in some other important way, and are they a change from your previous functioning?



( In the most recent episode) ",,,,,,,"([mini_1a] = '1' or [mini_2a] = '1') and (([mini_1b] = '1' or [mini_2b] = '1') or ([mini_1b] = '0' and [mini_2b] = '0'))",,,,,,
mini_5,mini_mdd," ",radio,"5. In between 2 episodes of depression, did you ever have an interval of at least 2 months, without any significant depression or any significant loss of interest?","1, Yes|0, No|2, N/A",,,,,,"[mini_1a] = '1' or [mini_1b] = '1' or [mini_2a] = '1' or [mini_2b] = '1'",,,,,,
mini_o2,mini_mdd,"Organic Cause",radio,"Has an ""organic""/ medical/ drug related cause been ruled out?

(Note: the answer to this question is typically 'yes', except in rare circumstances where a discussion with the PI is needed.)","1, Yes|0, No",,,,,,,y,,,,,
mini_mde_c,mini_mdd,,descriptive,"Major Depressive Episode: CURRENT -> Please select 'Yes' below.",,,,,,,"[mini_sx_a] >= 5 and [mini_4_a] = '1' and [mini_o2] = '1'",,,,,,
mini_mde_current,mini_mdd,,yesno,"Major Depressive Episode: Current",,,,,,,"[mini_sx_a] >= 5 and [mini_4_a] = '1' and [mini_o2] = '1'",,,,,,
mini_mde_p,mini_mdd,,descriptive,"Major Depressive Episode: PAST -> Please select 'Yes' below.",,,,,,,"[mini_sx_b] >= 5 and [mini_4_b] = '1' and [mini_o2] = '1'",,,,,,
mini_mde_past,mini_mdd,,yesno,"Major Depressive Episode: Past",,,,,,,"[mini_sx_b] >= 5 and [mini_4_b] = '1' and [mini_o2] = '1'",,,,,,
mini_mde_r,mini_mdd,,descriptive,"Major Depressive Episode: RECURRENT -> Please select 'Yes' below.",,,,,,,"(([mini_sx_a] >= 5 and [mini_4_a] = '1' and [mini_o2] = '1') or ([mini_sx_b] >= 5 and [mini_4_b] = '1' and [mini_o2] = '1')) and [mini_5] = '1'",,,,,,
mini_mde_recurrent,mini_mdd,,yesno,"Major Depressive Episode: Recurrent",,,,,,,,,,,,,
mini_6,mini_mdd,,text,"6. How many episodes of depression did you have in your lifetime? _____
Between each episode there must be at least 2 months without any significant depression.",,,number,0,,,,,,,,,
addtl_qs,mini_mdd,,descriptive,"<u>Additional Questions</u>",,,,,,,,,,,,,
mini_addtl_q1,mini_mdd,,text,"1. Duration of current episode (weeks):

As needed, ask: ""When did this episode of depression start? When did you seek treatment or a change in treatment for this episode of depression? What was going on in your life when you started having problems with depression?)",,,number,,,,,,LV,,,,
mini_addtl_q2,mini_mdd,,text,"2. Age at first episode (years):

(As needed, ask: ""How old were you when you first experienced these symptoms of depression?"")",,,number,,,,,,LV,,,,
mini_addtl_q3,mini_mdd,,yesno,"3. Partial Remission: Select YES if the following criteria are met:

a) Met MDE criteria in most recent episode AND
b) Symptoms of the immediately present MDE are still present
c) Full MDE criteria are not currently met",,,,,,,,,LH,,,,
mini_c_fam_hx,mini_mdd,"C. MANIC AND HYPOMANIC EPISODES",yesno,"Do you have any family history of manic-depressive illness or bipolar disorder, or any family member who had mood swings treated with a medication like lithium, sodium valproate (Depakote) or lamotrigine (Lamictal)?
THIS QUESTION IS NOT A CRITERION FOR BIPOLAR DISORDER, BUT IS ASKED TO INCREASE
THE CLINICIAN'S VIGILANCE ABOUT THE RISK FOR BIPOLAR DISORDER.",,,,,,,,,LH,,,,
mini_c_fam_hx_who,mini_mdd,,notes,"Please specify who:",,,,,,,"[mini_c_fam_hx] = '1'",,LH,,,,
mini_c1a,mini_mdd,C1,yesno,"C1 a)
Have you ever had a period of time when you were feeling 'up' or 'high' or 'hyper' or so full of energy or full of yourself that you got into trouble, - or that other people thought you were not your usual self? (Do not consider times when you were intoxicated on drugs or alcohol.)

IF PATIENT IS PUZZLED OR UNCLEAR ABOUT WHAT YOU MEAN BY 'UP' OR 'HIGH' OR 'HYPER', CLARIFY AS FOLLOWS: By 'up' or 'high' or 'hyper' I mean: having elated mood; increased energy or increased activity; needing less sleep; having rapid thoughts; being full of ideas; having an increase in productivity, motivation, creativity, or impulsive behavior; phoning or working excessively or spending more money.",,,,,,,,,LH,,,,
mini_c1a_note,mini_mdd,,descriptive,"<font size=""3"" color=""blue"">Please code NO to C1b.</font>",,,,,,,"[mini_c1a] = '0'",,,,,,
mini_c1b,mini_mdd,,yesno,"b) Are you currently feeling 'up' or 'high' or 'hyper' or full of energy?",,,,,,,,,LH,,,,
mini_c2a,mini_mdd,C2,yesno,"C2 a)
Have you ever been persistently irritable, for several days, so that you had arguments or verbal or physical fights, or shouted at people outside your family? Have you or others noticed that you have been more irritable or over reacted, compared to other people, even in situations that you felt were justified?",,,,,,,,,LH,,,,
mini_c2a_note,mini_mdd,,descriptive,"<font size=""3"" color=""blue"">Please code NO to C2b.</font>",,,,,,,"[mini_c2a] = '0'",,,,,,
mini_c2b,mini_mdd,,yesno,"b) Are you currently feeling persistently irritable?",,,,,,,,,LH,,,,
mini_c1c2_msg,mini_mdd,,descriptive,"<font size=""3"" color=""blue"">Please select NO in Manic and Hypomanic diagnostic boxes.</font>",,,,,,,"[mini_c1a] = '0' and [mini_c2a] = '0'",,,,,,
mini_c3_instr,mini_mdd,C3,descriptive,"C3 
During the times when you felt high, full of energy, or irritable, did you:",,,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1')",,,,,,
mini_c3_current,mini_mdd,,descriptive,"<u>Current Episode</u>",,,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1') and ([mini_c1b] = '1' or [mini_c2b] = '1')",,,,,,
mini_c3a_current,mini_mdd,,radio,"a) Feel that you could do things others couldn't do, or that you were an especially important person?","0, No|1, Yes",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1')  and ([mini_c1b] = '1' or [mini_c2b] = '1')",,LH,,,,
mini_c3a_curr_exs,mini_mdd,,descriptive,"<font size=""3"" color=""blue"">Please ask for examples.</font>",,,,,,,"[mini_c3a_current] = '1'",,,,,,
mini_c3ai_current,mini_mdd,,radio,"a i) The examples are consistent with a delusional idea?","0, No|1, Yes",,,,,,"[mini_c3a_current] = '1'",,LH,,,,
mini_c3b_current,mini_mdd,,radio,"b) Need less sleep (for example, feel rested after only a few hours sleep)?","0, No|1, Yes",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1')  and ([mini_c1b] = '1' or [mini_c2b] = '1')",,LH,,,,
mini_c3c_current,mini_mdd,,radio,"c) Talk too much without stopping, or felt a pressure to keep talking?","0, No|1, Yes",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1')  and ([mini_c1b] = '1' or [mini_c2b] = '1')",,LH,,,,
mini_c3d_current,mini_mdd,,radio,"d) Have racing thoughts or thoughts skipping rapidly from one topic to another?","0, No|1, Yes",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1')  and ([mini_c1b] = '1' or [mini_c2b] = '1')",,LH,,,,
mini_c3e_current,mini_mdd,,radio,"e) Become easily distracted so that any little interruption could distract you?","0, No|1, Yes",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1')  and ([mini_c1b] = '1' or [mini_c2b] = '1')",,LH,,,,
mini_c3f_current,mini_mdd,,radio,"f) Have a significant increase in your activity or drive, at work, at school, socially or sexually or did you become physically or mentally restless? This increase in activity may be with or without a purpose.","0, No|1, Yes",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1')  and ([mini_c1b] = '1' or [mini_c2b] = '1')",,LH,,,,
mini_c3g_current,mini_mdd,,radio,"g) Want so much to engage in pleasurable activities that you ignored the risks or NO consequences (for example, spending sprees, reckless driving, or sexual indiscretions)?","0, No|1, Yes",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1')  and ([mini_c1b] = '1' or [mini_c2b] = '1')",,LH,,,,
mini_n_c3_ans_yes_curr,mini_mdd,,calc,"Number of C3 answers coded Yes, not including C3f?","sum([mini_c3a_current],[mini_c3b_current],[mini_c3c_current],[mini_c3d_current],[mini_c3e_current],[mini_c3g_current])",,,,,,,,,,,," @HIDDEN"
mini_c3_summ_msg_curr,mini_mdd,,descriptive,"<font size=""3"" color=""blue"">Please select Yes Below for C3 Summary: Current Episode.</font>",,,,,,,"([mini_c1b] = '0' and [mini_c3f_current] = '1' and [mini_n_c3_ans_yes_curr] >= 3) or ([mini_c1b] = '1' and [mini_c3f_current] = '1' and [mini_n_c3_ans_yes_curr] >= 2)",,,,,,
mini_c3_summ_msg1_curr,mini_mdd,,descriptive,"<font size=""3"" color=""purple"">Note: If you do not see a field right above this one asking you to select Yes below for C3 Summary: Current Episode, then please select No for C3 Summary: Current Episode.</font>",,,,,,,"[mini_c3g_current] = '0' or [mini_c3g_current] = '1'",,,,,,
mini_c3_summ_curr,mini_mdd,,radio,"C3 SUMMARY: Current Episode?","0, No|1, Yes",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1')  and ([mini_c1b] = '1' or [mini_c2b] = '1')",,LH,,,,
org_cause_ruled_out,mini_mdd,,descriptive,"<font size=""3"" color=""blue"">Answer above whether an organic cause has been ruled out.</font>",,,,,,,"[mini_c3_summ_curr] = '1'",,,,,,
mini_c4_desc_curr,mini_mdd,,descriptive,"C4
What is the longest time these symptoms lasted (most of the day nearly every day)? 
ASSESS THIS DURATION FROM THE VERY START TO THE VERY END OF SYMPTOMS, NOT JUST THE PEAK.",,,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1')  and ([mini_c1b] = '1' or [mini_c2b] = '1')",,,,,,
mini_c4a_current,mini_mdd,,radio,"a) 3 days or less","0, No|1, Yes",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1')  and ([mini_c1b] = '1' or [mini_c2b] = '1')",,RH,,,,
mini_c4b_current,mini_mdd,,radio,"b) 4 days or more","0, No|1, Yes",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1')  and ([mini_c1b] = '1' or [mini_c2b] = '1')",,RH,,,,
mini_c4c_current,mini_mdd,,radio,"c) 7 days or more","0, No|1, Yes",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1')  and ([mini_c1b] = '1' or [mini_c2b] = '1')",,RH,,,,
mini_c5_current,mini_mdd,,radio,"C5
Were you hospitalized for these problems?","0, No|1, Yes",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1')  and ([mini_c1b] = '1' or [mini_c2b] = '1')",,LH,,,,
mini_c5_curr_msg,mini_mdd,,descriptive,"<font size=""3"" color=""blue"">Please select Yes in Manic Episode (Below) for Current</font>",,,,,,,"[mini_c5_current] = '1'",,,,,,
mini_c6_current,mini_mdd,,radio,"C6
Did these symptoms cause significant problems at home, at work, socially in your relationships, at school or in some other important way?","0, No|1, Yes",,,,,,"[mini_c5_current] = '0'",,LH,,,,
mini_c7_current,mini_mdd,,radio,"C7
Were these symptoms associated with a clear change in the way that you previously functioned and that was different from the way that you usually are?","0, No|1, Yes",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1')  and ([mini_c1b] = '1' or [mini_c2b] = '1')",,LH,,,,
manic_epis_curr_msg1,mini_mdd,,descriptive,"<font size=""3"" color=""blue"">Please select Yes below for Manic Episode: Current</font>",,,,,,,"[mini_c3_summ_curr] = '1' and [mini_c4c_current] = '1' or [mini_c5_current] = '1' and [mini_c6_current] = '1' and [mini_c7_current] = '1' and [mini_o2] = '1'",,,,,,
manic_epis_curr_msg2,mini_mdd,,descriptive,"<font size=""3"" color=""purple"">If not instructed to select Yes in the previous field, please select No below for Manic Episode: Current</font>",,,,,,,"[mini_c7_current] = '0' or [mini_c7_current] = '1'",,,,,,
manic_epis_curr,mini_mdd,,radio,"Manic Episode: Current","1, Yes|0, No",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1')  and ([mini_c1b] = '1' or [mini_c2b] = '1')",,RH,,,,
msg6,mini_mdd,,descriptive,"<font size=""3"" color=""blue"">Please select Yes below for Hypomanic Episode: Current</font>",,,,,,,"[mini_c3_summ_curr] = '1' and ([mini_c5_current] = '0' and [mini_c6_current] = '0') and [mini_c7_current] = '1' and ([mini_c4b_current] = '0' or [mini_c4c_current] = '0') and [mini_o2] = '1'",,,,,,
msg5,mini_mdd,,descriptive,"<font size=""3"" color=""purple"">If not instructed to select Yes in the previous field, please select No below for Hypomanic Episode: Current</font>",,,,,,,"[manic_epis_curr] = '1' or [manic_epis_curr] = '0'",,,,,,
hypomanic_epis_curr,mini_mdd,,radio,"Hypomanic Episode: Current","1, Yes|0, No",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1')  and ([mini_c1b] = '1' or [mini_c2b] = '1')",,RH,,,,
msg7,mini_mdd,,descriptive,"<font size=""3"" color=""blue"">Please select Yes below for Hypomanic Symptoms: Current</font>",,,,,,,"([manic_epis_curr] = '1' or [hypomanic_epis_curr] = '1') and [mini_c3_summ_curr] = '1' and [mini_c4a_current] = '1' and [mini_c5_current] = '0'",,,,,,
msg8,mini_mdd,,descriptive,"<font size=""3"" color=""purple"">If not instructed to select Yes in the previous field, please select No below for Hypomanic Symptoms: Current</font>",,,,,,,"[hypomanic_epis_curr] = '1' or [hypomanic_epis_curr] = '0'",,,,,,
hypomanic_symp_curr,mini_mdd,,radio,"Hypomanic Symptoms: Current","1, Yes|0, No",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1')  and ([mini_c1b] = '1' or [mini_c2b] = '1')",,RH,,,,
mini_c3_past,mini_mdd,,descriptive,"<u>Past Episode</u>",,,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1') and (([mini_c1b] = '1' or [mini_c2b] = '1') or ([mini_c1b] = '0' and [mini_c2b] = '0'))",,,,,,
mini_c3a_past,mini_mdd,,radio,"a) Feel that you could do things others couldn't do, or that you were an especially important person?","0, No|1, Yes",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1') and (([mini_c1b] = '1' or [mini_c2b] = '1') or ([mini_c1b] = '0' and [mini_c2b] = '0'))",,LH,,,,
mini_c3a_past_exs,mini_mdd,,descriptive,"<font size=""3"" color=""blue"">Please ask for examples.</font>",,,,,,,"[mini_c3a_past] = '1'",,,,,,
mini_c3ai_past,mini_mdd,,radio,"a i) The examples are consistent with a delusional idea?","0, No|1, Yes",,,,,,"[mini_c3a_past] = '1'",,LH,,,,
mini_c3b_past,mini_mdd,,radio,"b) Need less sleep (for example, feel rested after only a few hours sleep)?","0, No|1, Yes",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1') and (([mini_c1b] = '1' or [mini_c2b] = '1') or ([mini_c1b] = '0' and [mini_c2b] = '0'))",,LH,,,,
mini_c3c_past,mini_mdd,,radio,"c) Talk too much without stopping, or felt a pressure to keep talking?","0, No|1, Yes",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1') and (([mini_c1b] = '1' or [mini_c2b] = '1') or ([mini_c1b] = '0' and [mini_c2b] = '0'))",,LH,,,,
mini_c3d_past,mini_mdd,,radio,"d) Have racing thoughts or thoughts skipping rapidly from one topic to another?","0, No|1, Yes",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1') and (([mini_c1b] = '1' or [mini_c2b] = '1') or ([mini_c1b] = '0' and [mini_c2b] = '0'))",,LH,,,,
mini_c3e_past,mini_mdd,,radio,"e) Become easily distracted so that any little interruption could distract you?","0, No|1, Yes",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1') and (([mini_c1b] = '1' or [mini_c2b] = '1') or ([mini_c1b] = '0' and [mini_c2b] = '0'))",,LH,,,,
mini_c3f_past,mini_mdd,,radio,"f) Have a significant increase in your activity or drive, at work, at school, socially or sexually or did you become physically or mentally restless? This increase in activity may be with or without a purpose.","0, No|1, Yes",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1') and (([mini_c1b] = '1' or [mini_c2b] = '1') or ([mini_c1b] = '0' and [mini_c2b] = '0'))",,LH,,,,
mini_c3g_past,mini_mdd,,radio,"g) Want so much to engage in pleasurable activities that you ignored the risks or NO consequences (for example, spending sprees, reckless driving, or sexual indiscretions)?","0, No|1, Yes",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1') and (([mini_c1b] = '1' or [mini_c2b] = '1') or ([mini_c1b] = '0' and [mini_c2b] = '0'))",,LH,,,,
mini_n_c3_ans_yes_past,mini_mdd,,calc,"Number of C3 answers coded Yes, not including C3f?","sum([mini_c3a_past],[mini_c3b_past],[mini_c3c_past],[mini_c3d_past],[mini_c3e_past],[mini_c3g_past])",,,,,,,,,,,," @HIDDEN"
mini_c3_summ_msg_past,mini_mdd,,descriptive,"<font size=""3"" color=""blue"">Please select Yes Below for C3 Summary: Past Episode.</font>",,,,,,,"([mini_c1a] = '0' and [mini_c3f_past] = '1' and [mini_n_c3_ans_yes_past] >= 3) or ([mini_c1a] = '1' and [mini_c3f_past] = '1' and [mini_n_c3_ans_yes_past] >= 2)",,,,,,
mini_c3_summ_msg1_past,mini_mdd,,descriptive,"<font size=""3"" color=""purple"">Note: If you do not see a field right above this one asking you to select Yes below for C3 Summary: Past Episode, then please select No for C3 Summary: Past Episode.</font>",,,,,,,"[mini_c3g_past] = '0' or [mini_c3g_past] = '1'",,,,,,
mini_c3_summ_past,mini_mdd,,radio,"C3 SUMMARY: Past Episode?","0, No|1, Yes",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1') and (([mini_c1b] = '1' or [mini_c2b] = '1') or ([mini_c1b] = '0' and [mini_c2b] = '0'))",,LH,,,,
org_cause_ruled_out_2,mini_mdd,,descriptive,"<font size=""3"" color=""blue"">Answer above whether an organic cause has been ruled out.</font>",,,,,,,"[mini_c3_summ_past] = '1'",,,,,,
mini_c4_desc_past,mini_mdd,,descriptive,"C4
What is the longest time these symptoms lasted (most of the day nearly every day)? 
ASSESS THIS DURATION FROM THE VERY START TO THE VERY END OF SYMPTOMS, NOT JUST THE PEAK.",,,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1') and (([mini_c1b] = '1' or [mini_c2b] = '1') or ([mini_c1b] = '0' and [mini_c2b] = '0'))",,,,,,
mini_c4a_past,mini_mdd,,radio,"a) 3 days or less","0, No|1, Yes",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1') and (([mini_c1b] = '1' or [mini_c2b] = '1') or ([mini_c1b] = '0' and [mini_c2b] = '0'))",,RH,,,,
mini_c4b_past,mini_mdd,,radio,"b) 4 days or more","0, No|1, Yes",,,,,,"([mini_c1a] = '1' or [mini_c2a] = '1') and (([mini_c1b] = '1' or [mini_c2b] = '1') or ([mini_c1b] = '0' and [mini_c2b] = '0'))",,RH,,,,
